customer_tweet_id,hard_case_category,tweet_text,true_intent,true_escalation_decision,predicted_intent,predicted_confidence,drafted_reply,escalation_decision,escalation_reason,validate_draft_flags,notes
1022533,,it would be so awesome if you had a way of making a playlist so i could just queue up my kids fave shows.,,,general_complaint_other,0.9,"""Thank you for your suggestion. I will pass it along to our team for consideration.""",escalate,retrieval_top1_similarity 0.57 < 0.74,[],
816127,,we need arjunreddy movie in hindi man and #amazonprimevideo is not doing well on getting new movie's.,,,digital_service_device_support,0.9,"Hi there, we're sorry to hear about your experience with #amazonprimevideo. We're continuously working to improve our content selection and we'll definitely take your feedback into account. Stay tuned for more updates!",escalate,retrieval_top1_similarity 0.70 < 0.74,[],
1273380,,Received Oneplus 5 midnight black with white dot on top. Kindly look into this. Already mailed t details to cs-reply. <URL>,,,positive_feedback,0.9,"""Hi there! We're thrilled to hear about your new OnePlus 5 midnight black. We hope it meets your expectations and brings you joy. If you have any questions or need further assistance, feel free to reach out. Happy using! 😊📱🎉""",escalate,retrieval_top1_similarity 0.71 < 0.74,[],
361390,,can't u have #Vikings series? even not available on :( :(,,,general_complaint_other,0.9,"""We're sorry to hear that you're having trouble accessing the Vikings series. Please keep us updated if you're not able to find it.""",auto,confidence 0.90 >= 0.9 and similarity 0.79 >= 0.74,[],
1423476,,had requested a return on 26th October no pick up has been arranged yet .had convo wth you team two backs that didn't help either,,,refund_return_dispute,0.9,"Hi there, I apologize for the inconvenience. I'll look into the matter and ensure a resolution is reached promptly.",escalate,"high-risk intent 'refund_return_dispute': requires human for account/money/trust action, regardless of confidence",[],
651498,,account of __email__ school bag ka return start kiya lekin pick up nahin hua,,,delivery_shipping_issue,0.95,"""I apologize for the inconvenience. Could you please provide the order number and the return address for the school bag? I'll ensure that the pick-up is arranged promptly.""",escalate,retrieval_top1_similarity 0.59 < 0.74,[],
2314261,,Just had the worst customer service experience with . dealt with 5 customer service representatives over the course of an hour and still my issue was not satisfactorily resolved. The new system sucks.,,,general_complaint_other,0.9,"""I'm sorry to hear about your experience. We aim to provide the best service possible. Could you share more details so we can assist you better?""",auto,confidence 0.90 >= 0.9 and similarity 0.75 >= 0.74,[],
330903,,"I'm having problem with my app! Keeps telling me password wrong, & I change then same again - help please!",,,account_access,0.95,"""Hi there! I'm sorry to hear you're having trouble logging in. Have you tried resetting your password again or checking if there's a typo? If the issue persists, please reach out to our customer service for further assistance.""",escalate,"high-risk intent 'account_access': requires human for account/money/trust action, regardless of confidence",[],
869858,,It's been 5 days. I haven't got my cash back. I purchased prime membership & added money to wallet on same day.,,,billing_subscription_dispute,0.95,"""We apologize for the inconvenience. Please check your wallet balance and ensure the transaction was completed successfully. If there's an issue, our customer service team will assist you promptly.""",escalate,"high-risk intent 'billing_subscription_dispute': requires human for account/money/trust action, regardless of confidence",[],
2845498,,ARGH what am a paying for prime for. Two faulty items and two missing deliveries all in one day,,,delivery_shipping_issue,0.95,"Hi there, I'm really sorry to hear about the issues you're experiencing. Could you please provide more details about the faulty items and the missing deliveries?",auto,confidence 0.95 >= 0.9 and similarity 0.81 >= 0.74,[],
