customer_tweet_id,customer_tweet,customer_created_at,customer_in_response_to_tweet_id,brand_reply_id,brand_reply,brand_created_at,has_link,customer_tweet_clean,brand_reply_clean
2540386,@115850 does #amazonprime mean #slower than the #regular #delivery by any chance !!! #patheticservice #watdhell !!! https://t.co/HX7wB4RQZv,Thu Nov 16 10:42:03 +0000 2017,,2540385,"@579971 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.(2/2)^AU",Thu Nov 16 10:49:53 +0000 2017,False,does #amazonprime mean #slower than the #regular #delivery by any chance !!! #patheticservice #watdhell !!! <URL>,"Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.(2/2)^AU"
172327,@115833 can I set up a second phone on our amazon echo dot?,Fri Nov 24 22:07:28 +0000 2017,,172324,@156269 You can add another profile to your account using a household. Let's check out the following link for more info: https://t.co/LhPEdw8Lp2 ^TR,Fri Nov 24 22:14:32 +0000 2017,True,can I set up a second phone on our amazon echo dot?,You can add another profile to your account using a household. Let's check out the following link for more info: <URL> ^TR
441908,"@AmazonHelp I had a GUARANTEED delivery date for a SNES Classic for 10/11. What did that ""guarantee"" get me? A delay until AT LEAST 11/9.",Wed Oct 11 10:42:33 +0000 2017,,441906,@219792 Sorry to hear of your delay. Please keep us posted on your order. ^MC,Wed Oct 11 10:47:00 +0000 2017,False,"I had a GUARANTEED delivery date for a SNES Classic for 10/11. What did that ""guarantee"" get me? A delay until AT LEAST 11/9.",Sorry to hear of your delay. Please keep us posted on your order. ^MC
923776,@AmazonHelp hd orderd gift vouchers on 17th oct.Hve been tryng to call ur cust service but they can't trace d order.Urgent revert requested,Wed Oct 18 11:05:32 +0000 2017,,923773,@339221 We'd like to have a closer look on this. Please tell us more here: https://t.co/GIJyeYqKE0 &amp; we'll get back to you soon. ^BS,Wed Oct 18 12:02:29 +0000 2017,True,hd orderd gift vouchers on 17th oct.Hve been tryng to call ur cust service but they can't trace d order.Urgent revert requested,We'd like to have a closer look on this. Please tell us more here: <URL> & we'll get back to you soon. ^BS
2776337,@AmazonHelp I have been double charged and left penniless. The person I spoke to was worse than useless how do I make a formal complaint,Tue Nov 21 09:18:56 +0000 2017,,2776336,"@775752 Hi Nicola, I am so sorry to hear about your bad experience please use the following link so that someone from our team can help you: https://t.co/JzP7hlA23B ^ HS",Tue Nov 21 09:39:53 +0000 2017,True,I have been double charged and left penniless. The person I spoke to was worse than useless how do I make a formal complaint,"Hi Nicola, I am so sorry to hear about your bad experience please use the following link so that someone from our team can help you: <URL> ^ HS"
1476434,@117093 NOT FRESH.   😤 https://t.co/5Oy8zoEk8Y,Thu Nov 02 22:07:52 +0000 2017,,1476433,@462775 Oh no! I'm sorry this has happened. We're here to help! Please contact us here: https://t.co/hApLpMlfHN via phone or chat. ^AY,Thu Nov 02 22:36:00 +0000 2017,True,NOT FRESH. 😤 <URL>,Oh no! I'm sorry this has happened. We're here to help! Please contact us here: <URL> via phone or chat. ^AY
2501883,"@AmazonHelp another Amazon order left in the wrong place. This isn't our ""Safe Place ENCLOSED Front Porch"". Nice of you to leave a note saying you'd done something you hadn't though. It's a step in the right direction! https://t.co/xJIQjST87n",Wed Nov 15 20:06:02 +0000 2017,,2501881,"@263543 Uh oh! That isn't how we like to deliver our parcels, Terry! We'd like to get this sorted for you. If you would please give us a call or chat through the following link, we'll work with you to get this taken care of!  https://t.co/JzP7hlA23B ^JD",Wed Nov 15 20:10:56 +0000 2017,True,"another Amazon order left in the wrong place. This isn't our ""Safe Place ENCLOSED Front Porch"". Nice of you to leave a note saying you'd done something you hadn't though. It's a step in the right direction! <URL>","Uh oh! That isn't how we like to deliver our parcels, Terry! We'd like to get this sorted for you. If you would please give us a call or chat through the following link, we'll work with you to get this taken care of! <URL> ^JD"
1267607,"Well, yes @AmazonHelp you will be losing me as a customer for this particular item, since it says ""GET IT ON IT'S RELEASE DAY: NOVEMBER 10TH"" and you are telling me it will SHIP on release day. 
don't sass me. AMAZON is the one that's wrong here. change that shit. &gt;_&lt; LOL https://t.co/OqurYnikTR",Thu Oct 26 13:05:42 +0000 2017,,1267605,@416806 I'm very sorry for the poor experience! Please provide our team your details here: https://t.co/Bd5j0TNpRj ^KP,Thu Oct 26 13:20:00 +0000 2017,True,"Well, yes you will be losing me as a customer for this particular item, since it says ""GET IT ON IT'S RELEASE DAY: NOVEMBER 10TH"" and you are telling me it will SHIP on release day. don't sass me. AMAZON is the one that's wrong here. change that shit. >_< LOL <URL>",I'm very sorry for the poor experience! Please provide our team your details here: <URL> ^KP
1363790,"Hey @115821 who do you trust to ship boxes? My order showed up after being delivered at ""1:42 PM""... As seen. At 5 PM. #WrongKindOfScare https://t.co/g3HJ7htaRc",Fri Oct 27 21:08:28 +0000 2017,,1363788,@437553 I'm sorry you received your order in this condition! We'd like to help; who is the carrier for this: https://t.co/Y5jpI9gRhE? ^WM,Fri Oct 27 21:11:29 +0000 2017,True,"Hey who do you trust to ship boxes? My order showed up after being delivered at ""1:42 PM""... As seen. At 5 PM. #WrongKindOfScare <URL>",I'm sorry you received your order in this condition! We'd like to help; who is the carrier for this: <URL> ^WM
1737981,@AmazonHelp @115850  How many time such rare occurrences will happen. Almost 15  orders have been cancelled in last 6 months. https://t.co/KBHeoifQSE,Tue Nov 07 09:55:54 +0000 2017,,1737980,"@524606 Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP 2/2",Tue Nov 07 10:20:16 +0000 2017,False,How many time such rare occurrences will happen. Almost 15 orders have been cancelled in last 6 months. <URL>,"Please don't provide your order number, we consider it to be personal info. Our Twitter page is visible to the public. ^MP 2/2"
