customer_tweet_id,hard_case_category,tweet_text,drafted_reply,relevance_score,groundedness_score,tone_match_score,no_hallucinated_specifics_score,actionability_score
1107325,,"Mission Impossible 3 & Jack Reacher 2 are listed under ""drama movies"" category in . Such dumb assess unable to classify...","""Hi there, I understand your concern about the movie categorization. We strive to accurately classify our content. If you believe there's been a mistake, please reach out to our customer service team for assistance.""",4,5,4,5,3
2736181,pay_for_vocab_overlap,is taking the literal piss. Paid for one day delivery to still be sat waiting for my parcel 3 days later 🤔,"I'm so sorry for the delay, Alex. Could you please confirm the delivery date from your order confirmation email? Have you received any delivery updates via email?",4,3,4,4,4
1239489,low_retrieval_similarity,Ordering from has become less about getting new food and more about getting rid of all these freezer totes.,"""We're sorry to hear about your experience with Amazon. Could you share more details so we can assist you better?""",2,5,4,5,3
175405,,Amazon ruined Christmas. #holidaydumb #amazonruinedchristmas,"""I'm sorry to hear that you're disappointed with your experience. We'd love to understand what happened and how we can make things right. Could you share more about your situation?""",3,5,4,5,3
1716192,low_retrieval_similarity_backfill,Need more comprehensive commands and command chaining. eg: Switch off Hall Lights in 10 minutes.,"Hi there, I understand you're looking for more advanced voice command options. You can create custom routines in the Alexa app to achieve this. Would you like a step-bys to set this up?",5,4,4,4,4
521710,,Another shipping #fail today. Why do I keep ordering stuff from them? #AmazonPrime #ripoff,"Hi there, we're sorry to hear about the shipping issues. Can you share more about what happened? We're here to help resolve this for you.",4,5,4,5,4
122763,low_retrieval_similarity_backfill,Hey ! To quote He-Who-Must-Not-Be-Named: ‘Bad!’ #Sustainability <URL>,"""We're sorry to hear about your concerns. Could you please share more details so we can address this issue appropriately?""",2,5,4,5,3
2008300,pay_for_vocab_overlap,"why am I paying for Prime if my ""two day free shipping"" takes more than two days....","""Hi there, I understand your concern. Two-Day Shipping refers to the time taken for delivery after your order has been shipped. I apologize for any confusion.""",4,5,4,4,2
1013071,near_verbatim_stress,Any update on when #suits season 7 is coming to ?,"""We do not have an update on this. However, we'll continue to add new content. I'll share your preference internally to the concerned team. Stay tuned.""",4,2,4,2,3
2399407,low_retrieval_similarity,I think are now mocking me. “Have you taken Medicine?” <URL>,"Hi there! We're sorry to hear you're not feeling well. It's important to take care of your health. If you're not sure about your medication, please consult with a healthcare professional.",1,5,3,5,2
990687,near_verbatim_stress,when are you adding suits season 7?,"""We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2)""",4,2,4,2,2
